Transaction ID,Date,Order,Payment method,Accelerated checkout,Credit card,Sales channel,POS location,Register ID,Gross payments,Refunds,Net payments
1018312851511,2019-05-08T12:28:20-05:00,#1001,External credit,,Visa,Point of Sale,Prado Norte 439,1,2088.000,0.000,2088.000
1018314391607,2019-05-08T12:29:20-05:00,#1001,External credit,,Visa,Point of Sale,Prado Norte 439,1,0.000,-2088.000,-2088.000
1041714544695,2019-05-28T07:55:57-05:00,#1005,PayPal Payments Standard,,,Buy Button,,,1450.000,0.000,1450.000
1041715068983,2019-05-28T07:56:28-05:00,#1004,PayPal Payments Standard,,,Buy Button,,,2860.000,0.000,2860.000
1062186418231,2019-06-11T18:29:44-05:00,#1006,PayPal Payments Standard,,,Buy Button,,,1650.000,0.000,1650.000
1079138910263,2019-06-24T15:44:55-05:00,#1007,PayPal Payments Standard,,,Buy Button,,,5575.000,0.000,5575.000
1098338664503,2019-07-07T05:48:51-05:00,#1009,PayPal Payments Standard,,,Buy Button,,,2860.000,0.000,2860.000
1101693812791,2019-07-09T17:23:50-05:00,#1010,PayPal Payments Standard,,,Buy Button,,,6385.000,0.000,6385.000
1104005857335,2019-07-11T11:59:13-05:00,#1011,PayPal Payments Standard,,,Buy Button,,,7060.000,0.000,7060.000
1109198602295,2019-07-15T13:35:20-05:00,#1012,PayPal Payments Standard,,,Buy Button,,,1835.000,0.000,1835.000
1134593835063,2019-08-02T14:57:58-05:00,#1013,PayPal Payments Standard,,,Buy Button,,,2360.000,0.000,2360.000
1142733045815,2019-08-07T18:49:53-05:00,#1014,PayPal Payments Standard,,,Buy Button,,,5810.000,0.000,5810.000
1200297115703,2019-09-09T20:06:18-05:00,#1015,PayPal Payments Standard,,,Online Store,,,3560.000,0.000,3560.000
2259303596087,2019-09-29T15:13:13-05:00,#1016,PayPal Payments Standard,,,Buy Button,,,2560.000,0.000,2560.000
2262153297975,2019-10-01T12:50:43-05:00,#1017,PayPal Payments Standard,,,Buy Button,,,2470.000,0.000,2470.000
2325085257783,2019-10-15T13:19:18-05:00,#1018,PayPal Payments Standard,,,Buy Button,,,764.000,0.000,764.000
2345379725427,2019-10-22T13:03:01-05:00,#1019,PayPal Payments Standard,,,Buy Button,,,5774.000,0.000,5774.000
2366939562099,2019-10-28T09:23:27-06:00,#1020,PayPal Payments Standard,,,Buy Button,,,5580.000,0.000,5580.000
2407590363251,2019-11-18T19:43:51-06:00,#1021,PayPal Payments Standard,,,Buy Button,,,4342.800,0.000,4342.800
2408052686963,2019-11-19T05:35:40-06:00,#1022,PayPal Payments Standard,,,Buy Button,,,2090.000,0.000,2090.000
2460589850739,2019-12-12T17:11:07-06:00,#1023,PayPal Payments Standard,,,Buy Button,,,4820.000,0.000,4820.000
2471000408179,2019-12-17T21:39:20-06:00,#1024,Pago con tarjeta de crédito y débito,,,Buy Button,,,1260.000,0.000,1260.000
2558641700979,2020-02-13T13:00:03-06:00,#1025,PayPal Payments Standard,,,Buy Button,,,4430.000,0.000,4430.000
2579429556339,2020-02-26T19:07:00-06:00,#1026,Pago con tarjeta de crédito y débito,,,Buy Button,,,960.000,0.000,960.000
2589478256755,2020-03-03T12:04:48-06:00,#1027,PayPal Payments Standard,,,Buy Button,,,960.000,0.000,960.000
2605774504051,2020-03-13T09:36:24-06:00,#1028,PayPal Payments Standard,,,Buy Button,,,971.640,0.000,971.640
2617361203315,2020-03-20T17:04:26-06:00,#1030,PayPal Payments Standard,,,Buy Button,,,1285.000,0.000,1285.000
2617570197619,2020-03-20T19:52:19-06:00,#1031,Pago con tarjeta de crédito y débito,,,Buy Button,,,1191.200,0.000,1191.200
2618859782259,2020-03-21T17:07:04-06:00,#1032,Pago con tarjeta de crédito y débito,,,Buy Button,,,1565.000,0.000,1565.000
2620570206323,2020-03-22T20:56:21-06:00,#1033,Pago con tarjeta de crédito y débito,,,Buy Button,,,1670.000,0.000,1670.000
2621830398067,2020-03-23T13:14:52-06:00,#1034,Pago con tarjeta de crédito y débito,,,Buy Button,,,2044.500,0.000,2044.500
2628775739507,2020-03-27T08:40:47-06:00,#1035,PayPal Payments Standard,,,Buy Button,,,1845.000,0.000,1845.000
2631983857779,2020-03-29T00:09:58-06:00,#1036,Pago con tarjeta de crédito y débito,,,Buy Button,,,2930.000,0.000,2930.000
2633595158643,2020-03-29T20:11:26-06:00,#1037,Pago con tarjeta de crédito y débito,,,Buy Button,,,4144.500,0.000,4144.500
